order_id,order_date,order_customer_id,order_status
1,1.37E+12,11599,CLOSED
2,1.37E+12,256,PENDING_PAYMENT
3,1.37E+12,12111,COMPLETE
4,1.37E+12,8827,CLOSED
5,1.37E+12,11318,COMPLETE
6,1.37E+12,7130,COMPLETE
7,1.37E+12,4530,COMPLETE
8,1.37E+12,2911,PROCESSING
9,1.37E+12,5657,PENDING_PAYMENT
10,1.37E+12,5648,PENDING_PAYMENT
11,1.37E+12,918,PAYMENT_REVIEW
12,1.37E+12,1837,CLOSED
13,1.37E+12,9149,PENDING_PAYMENT
14,1.37E+12,9842,PROCESSING
15,1.37E+12,2568,COMPLETE
16,1.37E+12,7276,PENDING_PAYMENT
17,1.37E+12,2667,COMPLETE
18,1.37E+12,1205,CLOSED
19,1.37E+12,9488,PENDING_PAYMENT
20,1.37E+12,9198,PROCESSING
21,1.37E+12,2711,PENDING
22,1.37E+12,333,COMPLETE
23,1.37E+12,4367,PENDING_PAYMENT
24,1.37E+12,11441,CLOSED
25,1.37E+12,9503,CLOSED
26,1.37E+12,7562,COMPLETE
27,1.37E+12,3241,PENDING_PAYMENT
28,1.37E+12,656,COMPLETE
29,1.37E+12,196,PROCESSING
30,1.37E+12,10039,PENDING_PAYMENT
31,1.37E+12,6983,PAYMENT_REVIEW
32,1.37E+12,3960,COMPLETE
33,1.37E+12,5793,PENDING_PAYMENT
34,1.37E+12,4189,PROCESSING
35,1.37E+12,4840,COMPLETE
36,1.37E+12,5649,PENDING
37,1.37E+12,5863,CLOSED
38,1.37E+12,11586,PROCESSING
39,1.37E+12,8214,PENDING
40,1.37E+12,12092,PENDING_PAYMENT
41,1.37E+12,8136,PENDING_PAYMENT
42,1.37E+12,9776,PENDING
43,1.37E+12,7776,PENDING_PAYMENT
44,1.37E+12,10500,PENDING
45,1.37E+12,2636,COMPLETE
46,1.37E+12,1549,ON_HOLD
47,1.37E+12,8487,PENDING_PAYMENT
48,1.37E+12,12186,PROCESSING
49,1.37E+12,1871,PENDING
50,1.37E+12,5225,CANCELED
51,1.37E+12,12271,CLOSED
52,1.37E+12,5126,PENDING_PAYMENT
53,1.37E+12,4701,PROCESSING
54,1.37E+12,10628,PENDING_PAYMENT
55,1.37E+12,2052,PENDING
56,1.37E+12,10519,COMPLETE
57,1.37E+12,7073,CLOSED
58,1.37E+12,9213,PENDING_PAYMENT
59,1.37E+12,11644,PENDING_PAYMENT
60,1.37E+12,8365,PENDING_PAYMENT
61,1.37E+12,4791,CLOSED
62,1.37E+12,9111,CLOSED
63,1.37E+12,1148,COMPLETE
64,1.37E+12,5579,PENDING_PAYMENT
65,1.37E+12,5903,COMPLETE
66,1.37E+12,1792,ON_HOLD
67,1.37E+12,1406,COMPLETE
68,1.37E+12,4320,PENDING
69,1.37E+12,2821,SUSPECTED_FRAUD
70,1.37E+12,11809,PENDING_PAYMENT
71,1.37E+12,8646,COMPLETE
72,1.37E+12,4349,COMPLETE
73,1.37E+12,8504,PENDING_PAYMENT
74,1.37E+12,662,PENDING_PAYMENT
75,1.37E+12,2505,PENDING_PAYMENT
76,1.37E+12,6898,COMPLETE
77,1.37E+12,7915,PENDING_PAYMENT
78,1.37E+12,8619,PAYMENT_REVIEW
79,1.37E+12,7327,PENDING_PAYMENT
80,1.37E+12,3007,COMPLETE
81,1.37E+12,674,PROCESSING
82,1.37E+12,3566,PENDING_PAYMENT
83,1.37E+12,1265,COMPLETE
84,1.37E+12,6789,PROCESSING
85,1.37E+12,1485,PENDING
86,1.37E+12,6680,PENDING_PAYMENT
87,1.37E+12,3065,CLOSED
88,1.37E+12,3809,COMPLETE
89,1.37E+12,824,ON_HOLD
